ObjectID,KiloNBR,BlockAddress,CMID,CMAgency,Date,Type,Status,Score,Side
1582160,LHP200418000385,1300 BLOCK PUNAHOU ST,Honolulu_PD_HI_LHP200418000385_080,"Honolulu PD, HI",04/18/2020 05:55:00 PM +0000,ASSAULT,M,100,10116
1582161,LHP200418000401,1800 BLOCK ST LOUIS DR,Honolulu_PD_HI_LHP200418000401_050,"Honolulu PD, HI",04/18/2020 06:07:00 PM +0000,BURGLARY,M,100,10117
1582162,LHP200418000403,870100 BLOCK KULAAUPUNI ST,Honolulu_PD_HI_LHP200418000403_080,"Honolulu PD, HI",04/18/2020 06:07:00 PM +0000,ASSAULT,M,100,10118
1582163,LHP200418000406,480400 BLOCK KAM HWY,Honolulu_PD_HI_LHP200418000406_140,"Honolulu PD, HI",04/18/2020 06:10:00 PM +0000,VANDALISM,M,100,10119
1582164,LHP200418000408,980600 BLOCK KAIMU LOOP,Honolulu_PD_HI_LHP200418000408_140,"Honolulu PD, HI",04/18/2020 06:12:00 PM +0000,VANDALISM,M,100,10120
1582165,LHP200418000410,COYNE ST&MCCULLY ST,Honolulu_PD_HI_LHP200418000410_140,"Honolulu PD, HI",04/18/2020 06:14:00 PM +0000,VANDALISM,T,100,10121
1582166,LHP200418000411,900 BLOCK KOPKE ST,Honolulu_PD_HI_LHP200418000411_050,"Honolulu PD, HI",04/18/2020 06:13:00 PM +0000,BURGLARY,M,100,10122
1582167,LHP200418000412,870400 BLOCK KULAAUPUNI ST,Honolulu_PD_HI_LHP200418000412_064,"Honolulu PD, HI",04/18/2020 06:15:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10123
1582168,LHP200418000416,910100 BLOCK PAPIPI RD,Honolulu_PD_HI_LHP200418000416_141,"Honolulu PD, HI",04/18/2020 06:22:00 PM +0000,VANDALISM,M,100,10124
1582169,LHP200418000418,920200 BLOCK FARRINGTON HWY,Honolulu_PD_HI_LHP200418000418_064,"Honolulu PD, HI",04/18/2020 06:23:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10125
1582170,LHP200418000432,1800 BLOCK ALA MOANA,Honolulu_PD_HI_LHP200418000432_064,"Honolulu PD, HI",04/18/2020 06:33:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10126
1582171,LHP200418000487,3600 BLOCK WAIALAE AVE,Honolulu_PD_HI_LHP200418000487_060,"Honolulu PD, HI",04/18/2020 07:12:00 PM +0000,THEFT/LARCENY,M,100,10127
1582172,LHP200418000491,2500 BLOCK DOLE ST,Honolulu_PD_HI_LHP200418000491_077,"Honolulu PD, HI",04/18/2020 07:12:00 PM +0000,MOTOR VEHICLE THEFT,M,100,10128
1582173,LHP200418000505,940500 BLOCK LUMIAUAU ST,Honolulu_PD_HI_LHP200418000505_064,"Honolulu PD, HI",04/18/2020 07:27:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10129
1582174,LHP200418000527,940600 BLOCK KALAE ST,Honolulu_PD_HI_LHP200418000527_060,"Honolulu PD, HI",04/18/2020 07:45:00 PM +0000,THEFT/LARCENY,M,100,10130
1582175,LHP200418000553,660100 BLOCK KAM HWY,Honolulu_PD_HI_LHP200418000553_077,"Honolulu PD, HI",04/18/2020 08:01:00 PM +0000,MOTOR VEHICLE THEFT,M,100,10131
1582176,LHP200418000554,2600 BLOCK ALA WAI BLVD,Honolulu_PD_HI_LHP200418000554_140,"Honolulu PD, HI",04/18/2020 08:02:00 PM +0000,VANDALISM,M,100,10132
1582177,LHP200418000604,4700 BLOCK BOUGAINVILLE DR,Honolulu_PD_HI_LHP200418000604_060,"Honolulu PD, HI",04/18/2020 08:29:00 PM +0000,THEFT/LARCENY,M,100,10133
1582178,LHP200418000631,940100 BLOCK HULAHE ST,Honolulu_PD_HI_LHP200418000631_080,"Honolulu PD, HI",04/18/2020 08:51:00 PM +0000,ASSAULT,M,100,10134
1582179,LHP200418000634,300 BLOCK KEAHOLE ST,Honolulu_PD_HI_LHP200418000634_080,"Honolulu PD, HI",04/18/2020 08:53:00 PM +0000,ASSAULT,M,100,10135
1582180,LHP200418000712,3000 BLOCK WAIALAE AVE,Honolulu_PD_HI_LHP200418000712_140,"Honolulu PD, HI",04/18/2020 09:43:00 PM +0000,VANDALISM,M,100,10136
1582181,LHP200418000715,2700 BLOCK KAIMUKI AVE,Honolulu_PD_HI_LHP200418000715_140,"Honolulu PD, HI",04/18/2020 09:45:00 PM +0000,VANDALISM,M,100,10137
1582182,LHP200418000720,400 BLOCK KUAMOO ST,Honolulu_PD_HI_LHP200418000720_064,"Honolulu PD, HI",04/18/2020 09:50:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10138
1582183,LHP200418000723,2100 BLOCK 10TH AVE,Honolulu_PD_HI_LHP200418000723_050,"Honolulu PD, HI",04/18/2020 09:51:00 PM +0000,BURGLARY,M,100,10139
1582184,LHP200418000743,870100 BLOCK MALIONA ST,Honolulu_PD_HI_LHP200418000743_140,"Honolulu PD, HI",04/18/2020 10:05:00 PM +0000,VANDALISM,M,100,10140
1582185,LHP200418000755,910500 BLOCK FORT WEAVER RD,Honolulu_PD_HI_LHP200418000755_100,"Honolulu PD, HI",04/18/2020 10:16:00 PM +0000,FRAUD,M,100,10141
1582186,LHP200418000780,870000 BLOCK FARRINGTON HWY,Honolulu_PD_HI_LHP200418000780_140,"Honolulu PD, HI",04/18/2020 10:30:00 PM +0000,VANDALISM,M,100,10142
